iteracija,u1,u2,vrijednost
358,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
359,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
360,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
361,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
362,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
363,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
364,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
365,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
366,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
367,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
368,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
369,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
370,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
371,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
372,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
373,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
374,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
375,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
376,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
377,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
378,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
379,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
380,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
381,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
382,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
383,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
384,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
385,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
386,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
387,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
388,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
389,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
390,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
391,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
392,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
393,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
394,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
395,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
396,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
397,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
398,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
399,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
400,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
401,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
402,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
403,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
404,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
405,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
406,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
407,504.95737876363694,315.97778912151085,-1.1185974371612476e+308
