iteracija,u1,u2,u3,vrijednost
283,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
284,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
285,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
286,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
287,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
288,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
289,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
290,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
291,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
292,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
293,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
294,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
295,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
296,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
297,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
298,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
299,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
300,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
301,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
302,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
303,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
304,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
305,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
306,2.998342089525543,0.9453268022386628,24995.195844437636,-10418016.374426
